2019-10-28 14:24:47.941 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'brokerChannelExecutor'
2019-10-28 14:24:49.577 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - Starting...
2019-10-28 14:24:49.578 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2019-10-28 14:24:49.580 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - Started.
2019-10-28 14:24:49.582 INFO  o.s.a.r.c.CachingConnectionFactory -createBareConnection - [] - Attempting to connect to: [192.168.1.199:5672]
2019-10-28 14:24:49.649 INFO  o.s.a.r.c.CachingConnectionFactory -createBareConnection - [] - Created new connection: rabbitConnectionFactory#149409c:0/SimpleConnection@16075c0 [delegate=amqp://admin@192.168.1.199:5672/, localPort= 58933]
2019-10-28 14:24:49.849 INFO  o.a.coyote.http11.Http11NioProtocol -log - [] - Starting ProtocolHandler ["http-nio-9066"]
2019-10-28 14:24:49.912 INFO  o.s.b.w.e.tomcat.TomcatWebServer -start - [] - Tomcat started on port(s): 9066 (http) with context path ''
2019-10-28 14:24:49.922 INFO  c.x.a.AttendanceConsumerApplication -logStarted - [] - Started AttendanceConsumerApplication in 17.187 seconds (JVM running for 20.318)
2019-10-28 14:25:47.938 INFO  o.s.w.s.c.WebSocketMessageBrokerStats -lambda$initLoggingTask$0 - [] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2019-10-28 15:08:14.760 INFO  c.x.a.AttendanceConsumerApplication -logStarting - [] - Starting AttendanceConsumerApplication on DESKTOP-TLROHGB with PID 2276 (C:\develop\longxin_kaoqin\attendance-consumer-public\target\classes started by haora in C:\develop\longxin_kaoqin\attendance-consumer-public)
2019-10-28 15:08:14.771 INFO  c.x.a.AttendanceConsumerApplication -logStartupProfileInfo - [] - The following profiles are active: dev
2019-10-28 15:08:18.021 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -multipleStoresDetected - [] - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-28 15:08:18.023 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-28 15:08:18.166 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Finished Spring Data repository scanning in 129ms. Found 0 repository interfaces.
2019-10-28 15:08:18.185 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -multipleStoresDetected - [] - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-28 15:08:18.187 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Bootstrapping Spring Data repositories in DEFAULT mode.
